"shop_id","不同企业名称数量"
A12P0BW2A0XWXM,2
A12P61V95L7BQR,2
A12P7IP1ANN75D,2
A12PAKI889MTT0,2
A12PKH3V4KOC79,2
A12PLPKD643ZPC,2
A12PMSLMMH6PEA,2
A12POLGNY4AL8S,2
A12PRXP6X4OIZ3,2
A12Q0S81V4VIU2,2
A12Q22NHW3UHCC,2
A12QBCLZ0V59G2,2
A12QDNFS3UNKAN,2
A12QMEV7GJJN3P,2
A12QNYHRA6502A,2
A12QQO5P7H2G0Z,2
A12QUQXKLGIZYD,2
A12R3RLOV6DWX6,2
A12RAZN87P9115,2
A12RON00H19EAN,2
A12RUS37G6XCYL,2
A12RWX7FKC02QX,2
A12S4UJ5SQ1ZBG,2
A12SAEVLTY7N7R,2
A12SV1U9ZXOAY,2
A12SZ7RUCNO97D,2
A12SZSEPXQJ14K,2
A12T0BKMQFX1DA,2
A12T0CP6KJ90XF,2
A12T0QO03CXXHN,2
A12T1T6MIKKQL6,2
A12T3KJ8I78QP5,2
A12TB0BO55F8LI,2
A12TE81A80PD5E,2
A12TEB3UKMSADG,2
A12TEY4UWROV0Q,2
A12TITHB2K7V4W,2
A12TJR5R0YWAIX,2
A12TPIHV6PP9AV,2
A12TQSAI1DXHSI,2
A12TY9BG093PMH,2
A12TZ1M8Z3AEZ7,2
A12U3CBE6OBQ8J,2
A12U994K7K48KZ,2
A12UAQ2JYYC42W,2
A12UG2187DT2AQ,2
A12UN1XKKLH3VY,2
A12URBIWGNKF5Z,2
A12USTF8G7E1CQ,2
A12V47J8W0RUH6,2
A12V57SWJRKAMY,2
A12VA4Y1QQL2N4,2
A12VC1GA0OV4GH,2
A12VI960E7YQRX,2
A12VMYZX8F7P4V,2
A12WALXQM9P8G7,2
A12WNTHD9ZQPC5,2
A12WUKXI2JQG2F,2
A12WX98LATP412,2
A12X1SC3ZXYBXA,2
A12X33B7RNDYI7,2
A12X5NOQKX3CEF,2
A12XCK8UYI4UPE,2
A12XD5V7O0N3EY,2
A12XFHS51QZP0Y,2
A12XONVL3AG7TA,2
A12XVRBMOPTKE2,2
A12XZT4ZMW17W5,2
A12Y3PDKB8UJ72,2
A12Y5POI0MG1VV,2
A12Y9EQH92HQ4L,2
A12YD9340V5FYE,2
A12YE1DVKW53CK,2
A12YH7KPKN3O9W,2
A12YM1PYCMRIKV,2
A12YQ4VTLF6SQW,2
A12YQOK55ZZECK,2
A12YV543MOKK0Z,2
A12Z6KKS81RGJD,2
A12ZAOIGSN1B5Q,2
A12ZBYPBY6CZ6I,2
A12ZDES5YI7MQA,2
A12ZRUQ8LO9J6L,2
A12ZTC6KGKIL22,2
A12ZYIHHTO5NKH,2
A1301S1TTSITOK,2
A130A1M4BXWDDD,2
A130FGTGEE5K2N,2
A130NGR6VW581F,2
A130Q0256RZLQR,2
A130UFWDCSA52C,2
A130YDL4RZX45S,2
A130ZJRC64TBN2,2
A13141L2CRXMCG,3
A1314Z76EW9T7U,2
A1315Z66JJ1LYT,2
A131IXJCZSX7C4,2
A131MB0XI6HDEP,2
A131MUPXCKRENT,2
A131NAGGLL19M6,2
A131Y95NSEIOFJ,2
A131YJJ0EB2JC4,2
A1320YXPK98IKM,2
A1323HJPI550ZK,2
A1323LVO1K38QL,2
A1325B0E3G3G8G,2
A1329OETFDTWK8,2
