platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|上海市金山区枫泾镇环东一路65弄5号2783室,上海市,上海市,金山区,1,12,202601,202606,3
1,ADDR|上海市金山区亭林镇金展路2229号4号楼382室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|北京市西城区阜成门外大街甲271号六层6329号,北京市,北京市,西城区,1,6,202601,202606,3
1,ADDR|北京市朝阳区半截塔村55号38幢,北京市,北京市,朝阳区,1,6,202601,202606,3
1,ADDR|上海市奉贤区奉城镇新奉公路2013号3幢2102室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|上海市金山区卫清西路421号三楼a833,上海市,上海市,金山区,1,12,202601,202606,3
1,ADDR|北京市通州区宋庄镇高各庄村委会东500米,北京市,北京市,通州区,1,6,202601,202606,4
1,ADDR|上海市嘉定区江桥镇华江路129弄7号j33室,上海市,上海市,嘉定区,1,6,202601,202606,3
1,ADDR|北京市朝阳区朝阳路英家坟村6号6号楼b306a号,北京市,北京市,朝阳区,1,6,202601,202606,3
1,ADDR|海南省澄迈县老城经济开发区南一环路69号海口综合保税区联检大楼四楼a1311室,海南省,海口市,,1,30,202601,202606,3
1,ADDR|上海市闵行区元江路5500号第1幢a544室,上海市,上海市,闵行区,1,6,202601,202606,3
1,ADDR|重庆市北碚区蔡家岗镇同荣路402号1栋2单元63,重庆市,重庆市,北碚区,1,24,202601,202606,3
1,ADDR|上海市浦东新区金高路310号5层,上海市,上海市,浦东新区,1,48,202601,202606,3
1,ADDR|上海市松江区石湖荡镇塔汇路351号2幢106室,上海市,上海市,松江区,1,6,202601,202606,3
1,ADDR|广东省东莞市长安镇新安社区横增路324号,广东省,东莞市,,0,6,202601,202606,4
1,ADDR|上海市奉贤区南桥镇宏伟路24号5幢10409室,上海市,上海市,奉贤区,1,18,202601,202606,3
1,ADDR|北京市昌平区回龙观上北创业中心7办公楼12层1516,北京市,北京市,昌平区,1,6,202601,202606,3
1,ADDR|上海市金山工业区亭卫公路6558号9幢1390室,上海市,上海市,,1,12,202601,202606,2
1,ADDR|上海市奉贤区海坤路1号1幢,上海市,上海市,奉贤区,1,96,202601,202606,3
1,ADDR|上海市杨浦区宁武路269号1号楼102室,上海市,上海市,杨浦区,1,36,202601,202606,3
1,ADDR|广东省东莞市虎门镇太沙路262号5楼502,广东省,东莞市,,0,6,202601,202606,4
