"shop_id","url","company","company_cn","company_address","country","province_o","city_o","address","zip","contact_people","sales_money","sales","company_type","keep_time","province","city","county","category_id","category_name","category_id_new","category_name_new"
levaobest.en,https://levaobest.en.alibaba.com/contactinfo.html,Shandong Luofeiao International Trade Co.， Ltd,山东洛菲奥国际贸易有限公司,No. 1203-1204， Bldg. A8， Lushang Center， Crossing Of Guangzhou Road And Xiaohe Road， Liuqing Street，,China,"",Linyi,"","276002",Ms. Uny Yang,"430000","29",Trading Company,"6",山东省,临沂市,河东区,17,机械设备,17,工业耗材
hongkongadsolution.en,https://hongkongadsolution.en.alibaba.com/contactinfo.html,HongKong AD Solution Limited,"",Room C， 13/f， Harvard Comm Bldg.， 105-111 Thompson Road， Wan Chai， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Kowloon,"","",Ms. Cindy Yuan,"100","3",Manufacturer， Trading Company， Distributor\/Wholesaler,"13","","","",,,,电脑办公
quickly.en,https://quickly.en.alibaba.com/contactinfo.html,QUICKLY FOOD MACHINERY CO.， LTD.,"","1f，no. 349， Pu-Zhong Rd.， Zhong-Li Dist.， Taiwan， China",Taiwan， China,"",Taoyuan,"","32083",Ms. Chia-Yun CHANG,"","",Manufacturer， Trading Company,"12","","","",,,,家居家装
alfah1.trustpass,https://alfah1.trustpass.alibaba.com/contactinfo.html,ALFA ENTERPRISES,"","71 M3， Lake City， Street 2， Lahore， Pakistan",Pakistan,"",Lahore,"","54700",Mr. Muhammad Irfan Ur Rehman,"","",Manufacturer,"9","","","",,,,杂货和美食
gddongjuwire.en,https://gddongjuwire.en.alibaba.com/contactinfo.html,Guangdong Dongju Wire & Cable Co.， Ltd.,广东东聚电线有限公司,No. 18 Ludipu Industrial Zone， Aigang， Huide Community， Humen Town， Dongguan， Guangdong， China,China,"",dongguan,"","",Mr. Toby ZHENG,"10000","29",Manufacturer， Trading Company,"3",广东省,东莞市,-,2,电脑办公,2,家居家装
skilltek.en,https://skilltek.en.alibaba.com/contactinfo.html,SKILLTEK INDUSTRIES INC.,"",No. 398， Sec. 1， Keelung Rd.， Sinyi Dist.， Taiwan， China,Taiwan， China,"",Taipei,"","11051",Mr. Ian Chen,"","",Manufacturer， Trading Company,"4","","","",,,,工业耗材
autometertaiwan.en,https://autometertaiwan.en.alibaba.com/contactinfo.html,MOTOR METER (TAIWAN) CO.， LTD.,"",No. 6， Lane 50， Sec. 3， Nangang Rd.， Nangang District， Taiwan， China,Taiwan， China,"",Taipei City,"","",Ms. Tina Hsu,"290000","70",Manufacturer,"12","","","",,,,汽车配件
yufa6463491.en,https://yufa6463491.en.alibaba.com/contactinfo.html,FINE YOUTH INTERNATIONAL TRADING CO.， LTD.,"","2 F.， No. 305， Chengqing Rd.， Sanmin Dist.， Kaohsiung City 80770， Taiwan (r.o.c.)， Taiwan， China",Taiwan， China,"",Kaohsiung City,"","",Ms. YOUTH FINE,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"2","","","",,,,杂货和美食
caringcleaning.en,https://caringcleaning.en.alibaba.com/contactinfo.html,Hangzhou Caring Cleaning Commodity Co.， Ltd.,杭州珂洁日用品有限公司,No. 416， Building 4， Chuangzhi Building， East Qiantang District， Hangzhou， Zhejiang， China,China,"",Hangzhou ,"","310000",Mr. Jeff M,"20000","24",Trading Company,"8",浙江省,杭州市,钱塘区,4,服饰鞋包,4,健康护理
alkayenat.trustpass,https://alkayenat.trustpass.alibaba.com/contactinfo.html,AL KAYENAT TRADING CO. L.L.C,"",SHOP NO.03， AL SHAMAL HOTEL BUILDING， NEAR GOLD SOUQ， DEIRA DUBAI UAE P.O. BOX  # 379695， DUBAI， Uni,United Arab Emirates,"",DUBAI,"","74400",Mr. Ali Noorani,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"10","","","",,,,杂货和美食
de1001743208.trustpass,https://de1001743208.trustpass.alibaba.com/contactinfo.html,DCS DIGITAL COPY SYSTEMS GMBH,"",Elly-Staegmeyr-Str. 10， Munich， Germany,Germany,"",Munich,"","80999",Mr. Sotirios Paul,"","",Trading Company， Distributor\/Wholesaler,"9","","","",,,,
shuztung.en,https://shuztung.en.alibaba.com/contactinfo.html,SHUZ TUNG MACHINERY INDUSTRIAL CO.， LTD.,"",No. 30， Houke S. Rd.， Houli Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","43859",Ms. Joy Huang,"","",Manufacturer,"12","","","",,,,
mingshingplastic.en,https://mingshingplastic.en.alibaba.com/contactinfo.html,MING SHING PLASTIC & METAL FACTORY LIMITED,"",Room 313-315， Hong Man Ind. Centre No. 2 Hong Man Street Chai Wan， Hong Kong， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Hong Kong,"","",Mr. Jonathan Chu,"5000","4",Manufacturer， Trading Company， Buying Office,"3","","","",,,,玩具娱乐
netwoodgroup.en,https://netwoodgroup.en.alibaba.com/contactinfo.html,Hangzhou Netwood Wood Products Co.， Ltd.,杭州网木木制品有限公司,Room 408， Floor 4， Block A， Building 3， No. 8， Xiyuan Ninth Road， Hangzhou， Zhejiang， China,China,"",Zhejiang,"","310000",Ms. Harper Hong,"10000","64",Trading Company,"3",浙江省,杭州市,余杭区,,,,手工制作
zuanjie.en,https://zuanjie.en.alibaba.com/contactinfo.html,Zhongshan Gangkou Town Aruisi Sanitary Ware Factory,中山市港口镇阿瑞斯洁具制造厂,Card 1， Floor 2， Building B， No. 3-2， Maosheng Road， Gangkou Town， Zhongshan， Guangdong， China,China,"",GUANG DON,"","",Mr. HUIYON LUO,"20000","6",Manufacturer， Trading Company,"2",广东省,中山市,-,10,食品冲饮,10,工业耗材
sicaite.en,https://sicaite.en.alibaba.com/contactinfo.html,Wenzhou Sicaite Printing Technology Co.， Ltd.,温州斯彩特印刷科技有限公司,Room 201， Floor 2， Building 6， Huanghe Industrial Park， Longgang City， Wenzhou， Zhejiang， China,China,"",wenzhou,"","",Mr. jeff Chen,"3000","20",Manufacturer， Trading Company,"3",浙江省,温州市,龙港市,,,,工业耗材
pvt.en,https://pvt.en.alibaba.com/contactinfo.html,Shenzhen Pro Vision Technology Co.， Ltd.,深圳华视商显科技有限公司,Add:306，Block B，ZHAOFUDA Industrial Park，songgang，Bao'an，Shenzhen，Guangdong，China，518104， Shenzhen， ,China,"",shenzhen,"","518104",Mr. PRO VISION DISPLAY,"160000","85",Manufacturer， Trading Company,"8",广东省,深圳市,宝安区,3,电子产品,3,工业耗材
kailap.en,https://kailap.en.alibaba.com/contactinfo.html,Kai Lap Technologies Group Limited,"",Room 803， Winning Comm Bldg No.46-48 Hillwood Road Tsim Sha Tsui， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Hong Kong,"","",Mr. Jacky Cui,"","",Manufacturer,"8","","","",,,,电脑办公
szhxtcctv.en,https://szhxtcctv.en.alibaba.com/contactinfo.html,Shenzhen Hongxintai Technology Co.， Ltd.,深圳市鸿鑫泰科技有限公司,West Area， 3rd Floor， Building A， Hengchangrong Xinghui Industrial Park， Shenzhen， Guangdong， China,China,"",Shenzhen,"","",Mr. Johnson Huang,"60000","92",Manufacturer， Trading Company,"3",广东省,深圳市,龙华区,,,,汽车配件
maat.en,https://maat.en.alibaba.com/contactinfo.html,Jiangsu Maat Optical Technology Co.， Ltd.,江苏全真光学科技股份有限公司,No. 118， East Huangjintang Road， Economic Development Zone， Danyang， Jiangsu， China,China,"",Jiangsu,"","212300",Mr. Lee Li,"3000","2",Manufacturer， Trading Company,"4",江苏省,镇江市,丹阳市,5,家居家装,5,工业耗材
kortess.en,https://kortess.en.alibaba.com/contactinfo.html,KORTESS INTERNATIONAL CO.,"",Rm. 3， 2f.， No. 372， Sec. 1， Zhongqing Rd.， North Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","406",Ms. Annabella Cheng,"60000","26",Manufacturer， Trading Company,"5","","","",,,,汽车配件
sishanglai.en,https://sishanglai.en.alibaba.com/contactinfo.html,Guangzhou Jinjie Auto Supplies Co.， Ltd.,"",No. 5， Xihuan Street， Yushatan Daba， Tianhe District， Guangzhou， Guangdong， China,China,"",guangzhou,"","",Ms. li li,"3000","18",Manufacturer， Trading Company,"4","","","",,,,汽车配件
daizhe.en,https://daizhe.en.alibaba.com/contactinfo.html,Yiwu Daizhe Jewelry Factory,义乌市黛喆饰品厂,"202， Unit 2， Building 13， Yingriyuan， Dongzhou Garden， Jinhua， Zhejiang， China",China,"",yiwu,"","322000",Mr. Kim Jiang,"30000","235",Manufacturer， Trading Company,"9",浙江省,金华市,义乌市,4,服饰鞋包,4,服饰鞋包
tebags.en,https://tebags.en.alibaba.com/contactinfo.html,T.E. PACKAGING & GIFT MFG. INC.,"","1-2f.， No. 69-60， Xinshu Rd.， Xinzhuang Dist.， New Taipei City， Taiwan， China",Taiwan， China,"",new taipei city,"","24262",Mr. Andy Chen,"","",Manufacturer， Trading Company,"5","","","",,,,工业耗材
speedxpower.en,https://speedxpower.en.alibaba.com/contactinfo.html,LOOKING TECHNOLOGY CO.， LTD.,"",Rm. 5， 12/f， No. 33， Ln. 482， Sec. 2， Taiwan Blvd.， West Dist.， Taiwan， China,Taiwan， China,"",Taichung City,"","407",Mr. Looking Technology,"3000","8",Manufacturer,"7","","","",,,,汽车配件
blueriota.en,https://blueriota.en.alibaba.com/contactinfo.html,Dongguan Duo Lan Craft & Gift Co.， Ltd.,东莞市朵蓝工艺礼品有限公司,Room 218， Phase I， Balance Office Community， No.13 Guangshen Avenue， Guangzhou， China,China,"",Dongguan,"","523000",Ms. Zoey Huang,"5000","11",Trading Company,"4",广东省,东莞市,-,,,,服饰鞋包
honjie.en,https://honjie.en.alibaba.com/contactinfo.html,HONJIE INTERNATIONAL CO.， LTD.,"",No. 31， Jiasi 2nd Ln.， Dacun Township， Taiwan， China,Taiwan， China,"",Changhua,"","510",Ms. Elva Huang,"130000","12",Manufacturer， Trading Company， Agent,"8","","","",,,,工业耗材
eposh.en,https://eposh.en.alibaba.com/contactinfo.html,E-POSH INTERNATIONAL CO.， LTD.,"","4/f-4， No. 12， Ln. 609， Sec. 5， Chongxin Rd. Sanchung Dist.， Taiwan， China",Taiwan， China,"",New Taipei City,"","241",Mr. Tony Liao,"","",Manufacturer， Buying Office,"13","","","",,,,电脑办公
allenpack.en,https://allenpack.en.alibaba.com/contactinfo.html,ALLEN PLASTIC INDUSTRIES CO.， LTD.,"",No. 5， Ln. 110， Fengren Rd.， Fengshan Dist.， Taiwan， China,Taiwan， China,"",Kaohsiung,"","83053",Ms. Celina Lin,"","",Manufacturer,"17","","","",,,,工业耗材
faithgroupcorp.trustpass,https://faithgroupcorp.trustpass.alibaba.com/contactinfo.html,FAITH GROUP CORPORATION,"",Ugoki Road Dhannay Sialkot Near Fatima  Masjid Sialkot， Sialkot， Pakistan,Pakistan,"",sialkot,"","",Mr. MUHAMMAD AURANGZAIB,"","",Manufacturer,"1","","","",,,,工业耗材
uweldoutdoor.en,https://uweldoutdoor.en.alibaba.com/contactinfo.html,Ningbo Uweld Technology Co.， Ltd.,宁波尤韦得科技有限公司,Room 502， Block A， Lishi Finance Building， Shounan Street， Ningbo， Zhejiang， China,China,"",Ningbo,"","",Mr. Alvin Yin,"100","3",Trading Company,"3",浙江省,宁波市,鄞州区,,,,电脑办公
gsell0136890.trustpass,https://gsell0136890.trustpass.alibaba.com/contactinfo.html,EROGLU ISI ENDUSTRI CIHAZLARI SANAYII VE TICARET ANONIM SIRKETI,"",Esenkent Mah. Baraj Yolu Cad. No:30B UMRANIYE， Istanbul， Turkey,Turkey,"",Istanbul,"","34260",Mr. Ali Eroglu,"","",Manufacturer,"8","","","",,,,园艺用品
seco-corp.en,https://seco-corp.en.alibaba.com/contactinfo.html,SECO CORPORATION,"","1/f， No. 1， Lane 10， Kung Yuan Rd.， Xinzhuang District， Taiwan， China",Taiwan， China,"",NEW TAIPEI CITY,"","24243",Ms. OYANG JENNIFER,"6000","10",Manufacturer,"7","","","",,,,工艺美术
